2016-1-1	晴	22	12	无持续风向≤3级
2016-1-2	多云	22	16	无持续风向≤3级
2016-1-3	阴	25	18	无持续风向≤3级
2016-1-4	小雨	24	18	无持续风向≤3级
2016-1-5	中雨	22	16	无持续风向≤3级
2016-1-6	多云	23	12	无持续风向≤3级
2016-1-7	多云	20	14	无持续风向≤3级
2016-1-8	多云	21	14	无持续风向≤3级
2016-1-9	多云	20	14	无持续风向≤3级
2016-1-10	中到大雨	18	14	无持续风向≤3级
2016-1-11	小雨	17	11	无持续风向≤3级
2016-1-12	阴	17	11	无持续风向≤3级
2016-1-13	多云	18	10	无持续风向≤3级
2016-1-14	多云	18	12	无持续风向≤3级
2016-1-15	小到中雨	14	12	无持续风向≤3级
2016-1-16	小雨	15	12	无持续风向≤3级
2016-1-17	小雨	17	10	无持续风向≤3级
2016-1-18	晴	20	10	无持续风向≤3级
2016-1-19	多云	17	12	无持续风向≤3级
2016-1-20	小雨	15	12	无持续风向≤3级
2016-1-21	小到中雨	14	9	无持续风向≤3级
2016-1-22	小到中雨	12	4	北风3-4级
2016-1-23	阴	6	2	东北风4-5级
2016-1-24	小雨	6	0	东北风3-4级
2016-1-25	多云	10	2	无持续风向≤3级
2016-1-26	小雨	12	6	无持续风向≤3级
2016-1-27	中到大雨	10	9	无持续风向≤3级
2016-1-28	大到暴雨	14	13	无持续风向≤3级
2016-1-29	中雨	18	12	无持续风向≤3级
2016-1-30	多云	19	11	无持续风向≤3级
2016-1-31	小雨	16	8	无持续风向≤3级
2016-2-1	中雨	11	7	无持续风向≤3级
2016-2-2	小雨	10	6	无持续风向≤3级
2016-2-3	阴	12	8	无持续风向≤3级
2016-2-4	阴	14	9	无持续风向≤3级
2016-2-5	多云	16	7	无持续风向≤3级
2016-2-6	晴	16	6	无持续风向≤3级
2016-2-7	晴	17	5	无持续风向≤3级
2016-2-8	晴	18	6	无持续风向≤3级
2016-2-9	晴	22	12	无持续风向≤3级
2016-2-10	多云	22	15	无持续风向≤3级
2016-2-11	小雨	23	18	无持续风向≤3级
2016-2-12	小雨	24	21	无持续风向≤3级
2016-2-13	阴	27	14	无持续风向≤3级
2016-2-14	小雨	20	8	北风3-4级
2016-2-15	阴	12	9	北风3-4级
2016-2-16	多云	14	8	无持续风向≤3级
2016-2-17	阴	15	10	无持续风向≤3级
2016-2-18	多云	18	13	无持续风向≤3级
2016-2-19	小雨	17	10	无持续风向≤3级
2016-2-20	阴	18	10	无持续风向≤3级
2016-2-21	阴	18	14	无持续风向≤3级
2016-2-22	小雨	17	11	无持续风向≤3级
2016-2-23	小雨	14	10	无持续风向≤3级
2016-2-24	阴	13	10	无持续风向≤3级
2016-2-25	阴	14	10	无持续风向≤3级
2016-2-26	阴	14	10	无持续风向≤3级
2016-2-27	多云	19	9	无持续风向≤3级
2016-2-28	晴	22	11	无持续风向≤3级
2016-2-29	晴	23	10	无持续风向≤3级
2016-3-1	晴	26	11	无持续风向≤3级
2016-3-2	晴	24	12	无持续风向≤3级
2016-3-3	晴	24	14	无持续风向≤3级
2016-3-4	多云	25	16	无持续风向≤3级
2016-3-5	多云	24	18	无持续风向≤3级
2016-3-6	多云	26	18	无持续风向≤3级
2016-3-7	多云	27	19	无持续风向≤3级
2016-3-8	多云	26	18	无持续风向≤3级
2016-3-9	雷阵雨	26	9	北风3-4级
2016-3-10	大雨	11	7	北风3-4级
2016-3-11	阴	12	8	无持续风向≤3级
2016-3-12	阴	14	10	无持续风向≤3级
2016-3-13	中雨	15	12	无持续风向≤3级
2016-3-14	多云	17	13	无持续风向≤3级
2016-3-15	阴	17	14	无持续风向≤3级
2016-3-16	小雨	17	14	无持续风向≤3级
2016-3-17	小雨	17	17	无持续风向≤3级
2016-3-18	小到中雨	21	20	无持续风向≤3级
2016-3-19	小雨	25	20	无持续风向≤3级
2016-3-20	中到大雨	24	20	无持续风向≤3级
2016-3-21	大到暴雨	22	17	无持续风向≤3级
2016-3-22	大雨	21	18	无持续风向≤3级
2016-3-23	大到暴雨	20	14	无持续风向≤3级
2016-3-24	小到中雨	16	12	北风3-4级
2016-3-25	阴	18	9	无持续风向≤3级
2016-3-26	多云	20	10	无持续风向≤3级
2016-3-27	晴	23	9	无持续风向≤3级
2016-3-28	晴	24	13	无持续风向≤3级
2016-3-29	多云	23	17	无持续风向≤3级
2016-3-30	多云	24	18	无持续风向≤3级
2016-3-31	多云	26	21	无持续风向≤3级
2016-4-1	雾	27	21	无持续风向≤3级
2016-4-2	小雨	27	20	无持续风向≤3级
2016-4-3	阵雨	26	20	无持续风向≤3级
2016-4-4	中雨	25	21	无持续风向≤3级
2016-4-5	多云	29	21	南风3-4级
2016-4-6	阴	28	22	南风3-4级
2016-4-7	小雨	28	23	无持续风向≤3级
2016-4-8	小雨	28	22	无持续风向≤3级
2016-4-9	小雨	29	22	无持续风向≤3级
2016-4-10	大到暴雨	26	21	无持续风向≤3级
2016-4-11	阴	25	21	无持续风向≤3级
2016-4-12	中到大雨	25	21	无持续风向≤3级
2016-4-13	大雨	24	22	无持续风向≤3级
2016-4-14	小到中雨	27	23	无持续风向≤3级
2016-4-15	阵雨	27	23	无持续风向≤3级
2016-4-16	小雨	28	23	无持续风向≤3级
2016-4-17	大雨	28	20	无持续风向≤3级
2016-4-18	小雨	25	19	无持续风向≤3级
2016-4-19	小雨	26	21	无持续风向≤3级
2016-4-20	小雨	23	21	无持续风向≤3级
2016-4-21	中到大雨	26	22	无持续风向≤3级
2016-4-22	小雨	26	21	无持续风向≤3级
2016-4-23	大到暴雨	26	21	无持续风向≤3级
2016-4-24	大到暴雨	26	21	无持续风向≤3级
2016-4-25	中雨	27	23	无持续风向≤3级
2016-4-26	中雨	28	23	无持续风向≤3级
2016-4-27	多云	28	22	无持续风向≤3级
2016-4-28	多云	29	22	无持续风向≤3级
2016-4-29	小雨	28	22	无持续风向≤3级
2016-4-30	小雨	30	22	无持续风向≤3级
2016-5-1	小雨	28	23	无持续风向≤3级
2016-5-2	多云	30	24	无持续风向≤3级
2016-5-3	小雨	29	24	无持续风向≤3级
2016-5-4	小雨	29	24	无持续风向≤3级
2016-5-5	小雨	32	24	无持续风向≤3级
2016-5-6	小雨	30	26	无持续风向≤3级
2016-5-7	多云	32	25	无持续风向≤3级
2016-5-8	小雨	32	25	无持续风向≤3级
2016-5-9	中雨	31	24	无持续风向≤3级
2016-5-10	小到中雨	28	22	无持续风向≤3级
2016-5-11	多云	31	22	无持续风向≤3级
2016-5-12	多云	32	24	无持续风向≤3级
2016-5-13	小雨	32	24	无持续风向≤3级
2016-5-14	小雨	31	24	无持续风向≤3级
2016-5-15	中雨	29	20	无持续风向≤3级
2016-5-16	多云	28	20	无持续风向≤3级
2016-5-17	多云	28	21	无持续风向≤3级
2016-5-18	小雨	29	23	无持续风向≤3级
2016-5-19	小雨	29	24	无持续风向≤3级
2016-5-20	小到中雨	28	22	无持续风向≤3级
2016-5-21	小雨	28	24	无持续风向≤3级
